case:Project,concept:name,time:timestamp
project 152803,Request Payment,2018-06-13 09:47:28+00:00
project 152803,Payment Handled,2018-06-14 17:31:33+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 11:56:41+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 12:02:26+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-13 09:44:50+00:00
project 147531,Request Payment,2018-06-13 09:47:28+00:00
project 147531,Payment Handled,2018-06-14 17:31:33+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 13:16:34+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 13:16:51+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 11:47:55+00:00
project 147556,Request Payment,2018-06-27 11:22:13+00:00
project 147556,Payment Handled,2018-06-28 17:31:36+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 13:18:18+00:00
project 147556,Request For Payment REJECTED by ADMINISTRATION,2018-06-12 13:18:56+00:00
project 147556,Request For Payment REJECTED by EMPLOYEE,2018-06-20 11:48:46+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-29 15:48:40+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-29 15:48:43+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-07-03 10:06:13+00:00
project 147556,Request Payment,2018-07-06 15:20:58+00:00
project 147556,Payment Handled,2018-07-09 17:31:27+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 13:57:22+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 13:57:50+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-12 15:29:04+00:00
project 147531,Request Payment,2018-06-14 11:12:08+00:00
project 147531,Payment Handled,2018-07-02 17:31:20+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 15:07:24+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 15:07:26+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 13:22:38+00:00
project 147556,Request Payment,2018-06-20 14:39:27+00:00
project 147556,Payment Handled,2018-06-21 17:31:09+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 15:42:55+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 15:49:30+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 13:25:29+00:00
project 147556,Request Payment,2018-06-25 09:44:34+00:00
project 147556,Payment Handled,2018-06-28 17:31:36+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 16:01:04+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 16:01:36+00:00
project 503,Request For Payment APPROVED by SUPERVISOR,2018-06-12 16:18:04+00:00
project 503,Request For Payment FINAL_APPROVED by DIRECTOR,2018-06-18 12:09:05+00:00
project 503,Request Payment,2018-06-18 14:26:16+00:00
project 503,Payment Handled,2018-06-21 17:31:09+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 16:55:36+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-12 17:10:12+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-13 08:32:59+00:00
project 149491,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 16:58:53+00:00
project 149491,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 17:03:09+00:00
project 149491,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 13:48:42+00:00
project 149491,Request Payment,2018-06-21 11:14:05+00:00
project 149491,Payment Handled,2018-06-25 17:31:30+00:00
project 149268,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 17:24:32+00:00
project 149268,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 18:07:03+00:00
project 149268,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:11:22+00:00
project 149268,Request Payment,2018-06-22 09:47:08+00:00
project 149268,Payment Handled,2018-06-25 17:31:30+00:00
project 148052,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 20:58:34+00:00
project 148052,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 21:05:05+00:00
project 148052,Request For Payment APPROVED by BUDGET OWNER,2018-06-14 10:56:43+00:00
project 148052,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 10:27:07+00:00
project 148052,Request Payment,2018-06-26 11:21:46+00:00
project 148052,Payment Handled,2018-06-28 17:31:36+00:00
project 147908,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 09:50:54+00:00
project 147908,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 09:52:44+00:00
project 147908,Request For Payment APPROVED by SUPERVISOR,2018-06-21 13:28:40+00:00
project 147908,Request For Payment FINAL_APPROVED by DIRECTOR,2018-06-26 09:20:21+00:00
project 147908,Request Payment,2018-06-26 10:10:47+00:00
project 147908,Payment Handled,2018-06-28 17:31:36+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 10:24:16+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-13 10:35:47+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-14 10:58:56+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 10:25:25+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-13 10:25:51+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-14 12:16:55+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 11:04:59+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 13:48:00+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-13 16:04:27+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 05:15:16+00:00
project 147556,Request Payment,2018-06-21 08:53:44+00:00
project 147556,Payment Handled,2018-06-25 17:31:30+00:00
project 147690,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 11:42:51+00:00
project 147690,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 11:43:06+00:00
project 147690,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-13 16:21:28+00:00
project 147690,Request Payment,2018-06-14 15:58:18+00:00
project 147690,Payment Handled,2018-06-18 17:31:20+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 11:43:55+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 11:44:04+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-13 12:16:27+00:00
project 147556,Request Payment,2018-06-14 08:49:53+00:00
project 147556,Payment Handled,2018-06-18 17:31:20+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 12:18:26+00:00
project 147843,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 12:18:33+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-14 10:57:22+00:00
project 147843,Request Payment,2018-06-19 11:58:17+00:00
project 147843,Payment Handled,2018-06-21 17:31:09+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 13:12:13+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 13:15:02+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:12:46+00:00
project 147556,Request Payment,2018-06-25 10:16:18+00:00
project 147556,Payment Handled,2018-06-28 17:31:36+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 13:16:20+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 13:17:40+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-21 13:13:10+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-25 11:56:51+00:00
project 147556,Request Payment,2018-06-25 12:29:56+00:00
project 147556,Payment Handled,2018-06-28 17:31:36+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 13:26:22+00:00
project 147620,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 13:27:40+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:13:45+00:00
project 147620,Request Payment,2018-06-25 11:39:28+00:00
project 147620,Payment Handled,2018-06-28 17:31:36+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 14:06:48+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 14:09:57+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 11:52:03+00:00
project 147556,Request Payment,2018-06-19 10:46:33+00:00
project 147556,Payment Handled,2018-06-21 17:31:09+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 14:23:27+00:00
project 147556,Request For Payment REJECTED by ADMINISTRATION,2018-06-13 14:31:22+00:00
project 147556,Request For Payment REJECTED by EMPLOYEE,2018-06-14 13:22:33+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 15:09:43+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 15:13:32+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-15 15:16:13+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-19 14:26:42+00:00
project 147556,Request Payment,2018-06-19 14:26:42+00:00
project 147556,Payment Handled,2018-06-21 17:31:09+00:00
project 149268,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 14:28:00+00:00
project 149268,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 14:28:53+00:00
project 149268,Request For Payment APPROVED by BUDGET OWNER,2018-06-14 10:56:25+00:00
project 149268,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-19 10:59:43+00:00
project 149268,Request Payment,2018-06-19 11:57:39+00:00
project 149268,Payment Handled,2018-06-21 17:31:09+00:00
project 147908,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 15:37:54+00:00
project 147908,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 15:38:29+00:00
project 147908,Request For Payment APPROVED by BUDGET OWNER,2018-06-13 16:19:55+00:00
project 147908,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-14 13:18:33+00:00
project 147908,Request Payment,2018-06-14 23:18:56+00:00
project 147908,Payment Handled,2018-06-18 17:31:20+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 15:54:38+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 16:04:26+00:00
project 147546,Request For Payment APPROVED by BUDGET OWNER,2018-06-14 12:31:54+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 10:26:55+00:00
project 147546,Request Payment,2018-06-21 09:51:40+00:00
project 147546,Payment Handled,2018-06-25 17:31:30+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 16:13:43+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 16:13:56+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-06-13 16:22:52+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-14 09:46:26+00:00
project 503,Request Payment,2018-06-14 16:17:20+00:00
project 503,Payment Handled,2018-06-18 17:31:20+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 16:30:52+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 16:31:04+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-14 11:04:46+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 10:21:01+00:00
project 147556,Request Payment,2018-06-15 15:03:11+00:00
project 147556,Payment Handled,2018-06-18 17:31:20+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-06-13 16:41:47+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-06-13 16:42:23+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 08:29:22+00:00
project 503,Request Payment,2018-06-19 08:30:06+00:00
project 503,Payment Handled,2018-06-21 17:31:09+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 06:58:04+00:00
project 147582,Request For Payment APPROVED by ADMINISTRATION,2018-07-09 14:35:21+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-07-09 15:41:01+00:00
project 147582,Request Payment,2018-07-12 09:44:18+00:00
project 147582,Payment Handled,2018-07-16 17:31:26+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 08:45:07+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 08:45:45+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 13:27:55+00:00
project 147531,Request Payment,2018-06-18 08:43:51+00:00
project 147531,Payment Handled,2018-06-21 17:31:09+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 10:27:11+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-14 10:27:21+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-14 11:42:42+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 10:52:22+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 10:55:00+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 10:37:09+00:00
project 147531,Request Payment,2018-06-18 13:27:25+00:00
project 147531,Payment Handled,2018-06-21 17:31:09+00:00
project 148216,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 10:54:44+00:00
project 148216,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 10:55:41+00:00
project 148216,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-14 13:39:36+00:00
project 148216,Request Payment,2018-06-16 10:19:27+00:00
project 148216,Payment Handled,2018-06-21 17:31:09+00:00
project 147649,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:05:07+00:00
project 147649,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 11:05:42+00:00
project 147649,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-14 13:40:51+00:00
project 147649,Request Payment,2018-06-19 11:41:47+00:00
project 147649,Payment Handled,2018-06-21 17:31:09+00:00
project 147649,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:10:26+00:00
project 147649,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 11:10:30+00:00
project 147649,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-14 13:41:34+00:00
project 147649,Request Payment,2018-06-19 11:41:46+00:00
project 147649,Payment Handled,2018-06-21 17:31:09+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:28:21+00:00
project 147582,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 11:28:39+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 10:39:00+00:00
project 147582,Request Payment,2018-06-19 11:58:18+00:00
project 147582,Payment Handled,2018-06-21 17:31:09+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:34:12+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 11:34:39+00:00
project 147531,Request For Payment APPROVED by BUDGET OWNER,2018-06-14 11:38:39+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-19 11:55:27+00:00
project 147531,Request Payment,2018-06-22 10:08:05+00:00
project 147531,Payment Handled,2018-06-25 17:31:30+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:35:10+00:00
project 147546,Request For Payment REJECTED by ADMINISTRATION,2018-06-14 11:39:03+00:00
project 147546,Request For Payment REJECTED by EMPLOYEE,2018-06-14 13:45:20+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 13:55:16+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 13:56:11+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 09:07:30+00:00
project 147546,Request Payment,2018-06-22 11:02:01+00:00
project 147546,Payment Handled,2018-06-25 17:31:30+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:45:42+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-14 11:46:18+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-15 13:43:12+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 11:46:48+00:00
project 147620,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 11:48:24+00:00
project 147620,Request For Payment APPROVED by BUDGET OWNER,2018-06-19 10:55:44+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-19 11:08:15+00:00
project 147620,Request Payment,2018-06-19 22:36:09+00:00
project 147620,Payment Handled,2018-06-21 17:31:09+00:00
project 159459,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 14:02:50+00:00
project 159459,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 14:03:29+00:00
project 159459,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 10:11:30+00:00
project 159459,Request Payment,2018-06-18 11:20:10+00:00
project 159459,Payment Handled,2018-06-21 17:31:09+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 14:10:32+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-14 14:10:40+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-18 10:10:22+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 14:48:41+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 14:49:52+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 11:21:39+00:00
project 147546,Request Payment,2018-06-19 11:41:45+00:00
project 147546,Payment Handled,2018-06-21 17:31:09+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 15:27:47+00:00
project 147620,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 15:28:02+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 08:06:26+00:00
project 147620,Request Payment,2018-06-19 13:03:00+00:00
project 147620,Payment Handled,2018-06-21 17:31:09+00:00
project 148052,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 15:30:10+00:00
project 148052,Request For Payment APPROVED by ADMINISTRATION,2018-06-19 13:47:58+00:00
project 148052,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:36:15+00:00
project 148052,Request Payment,2018-07-27 18:59:09+00:00
project 148052,Payment Handled,2018-08-02 17:31:28+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 15:56:16+00:00
project 147582,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 15:57:34+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:36:51+00:00
project 147582,Request Payment,2018-06-26 16:56:52+00:00
project 147582,Payment Handled,2018-06-28 17:31:36+00:00
project 147742,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 16:08:47+00:00
project 147742,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 16:08:56+00:00
project 147742,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:37:27+00:00
project 147742,Request Payment,2018-06-25 11:56:29+00:00
project 147742,Payment Handled,2018-06-28 17:31:36+00:00
project 147572,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 16:35:13+00:00
project 147572,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 16:35:50+00:00
project 147572,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 11:50:40+00:00
project 147572,Request Payment,2018-06-18 14:26:33+00:00
project 147572,Payment Handled,2018-06-21 17:31:09+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 17:11:38+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-06-14 17:11:49+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-06-21 13:38:26+00:00
UNKNOWN,Request For Payment SAVED by EMPLOYEE,2018-06-14 17:30:15+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-14 18:35:21+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-14 18:35:28+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 10:38:06+00:00
project 147531,Request Payment,2018-06-18 13:21:55+00:00
project 147531,Payment Handled,2018-06-21 17:31:09+00:00
project 148052,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 08:57:37+00:00
project 148052,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 08:58:01+00:00
project 148052,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 13:31:19+00:00
project 148052,Request Payment,2018-06-15 16:25:28+00:00
project 148052,Payment Handled,2018-06-18 17:31:20+00:00
project 154071,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 09:00:57+00:00
project 154071,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 09:01:07+00:00
project 154071,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 13:38:07+00:00
project 154071,Request Payment,2018-06-15 16:25:00+00:00
project 154071,Payment Handled,2018-06-18 17:31:20+00:00
project 149268,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 09:41:41+00:00
project 149268,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 09:44:41+00:00
project 149268,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:40:03+00:00
project 149268,Request Payment,2018-06-25 11:00:35+00:00
project 149268,Payment Handled,2018-06-28 17:31:36+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 09:48:31+00:00
project 147582,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 09:48:40+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 11:36:49+00:00
project 147582,Request Payment,2018-06-18 14:42:54+00:00
project 147582,Payment Handled,2018-06-21 17:31:09+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 10:02:17+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 10:02:56+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-18 16:01:52+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-19 11:08:15+00:00
project 147556,Request Payment,2018-06-21 09:12:37+00:00
project 147556,Payment Handled,2018-06-25 17:31:30+00:00
UNKNOWN,Request For Payment SAVED by EMPLOYEE,2018-06-15 10:14:14+00:00
project 147701,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 10:18:54+00:00
project 147701,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 10:19:46+00:00
project 147701,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 11:38:21+00:00
project 147701,Request Payment,2018-06-19 11:41:48+00:00
project 147701,Payment Handled,2018-06-21 17:31:09+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 10:52:08+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-06-18 12:13:55+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 14:03:23+00:00
project 503,Request Payment,2018-06-18 19:05:10+00:00
project 503,Payment Handled,2018-06-21 17:31:09+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 11:19:50+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 11:19:52+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-21 13:41:07+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-26 09:07:54+00:00
project 147556,Request Payment,2018-06-26 09:31:20+00:00
project 147556,Payment Handled,2018-06-28 17:31:36+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 12:35:48+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 12:36:56+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-06-18 09:58:51+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 11:19:56+00:00
project 147556,Request Payment,2018-07-03 11:13:52+00:00
project 147556,Payment Handled,2018-07-05 17:31:35+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 12:52:40+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 12:53:18+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 13:34:44+00:00
project 503,Request Payment,2018-06-15 14:37:04+00:00
project 503,Payment Handled,2018-06-18 17:31:20+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 13:06:20+00:00
project 147551,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 13:07:06+00:00
project 147551,Request For Payment APPROVED by BUDGET OWNER,2018-06-18 15:54:35+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-23 17:15:56+00:00
project 147551,Request Payment,2018-06-26 12:14:22+00:00
project 147551,Payment Handled,2018-06-28 17:31:36+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 14:15:14+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 14:15:52+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-20 09:58:11+00:00
project 147531,Request Payment,2018-06-20 10:06:15+00:00
project 147531,Payment Handled,2018-06-21 17:31:09+00:00
project 152745,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 15:04:55+00:00
project 152745,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 15:05:26+00:00
project 152745,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 16:12:39+00:00
project 152745,Request Payment,2018-06-19 08:18:24+00:00
project 152745,Payment Handled,2018-06-21 17:31:09+00:00
project 147701,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 15:38:31+00:00
project 147701,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 15:41:01+00:00
project 147701,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-15 15:47:18+00:00
project 147701,Request Payment,2018-06-18 09:15:18+00:00
project 147701,Payment Handled,2018-06-21 17:31:09+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 15:46:17+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 15:46:19+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-18 09:28:06+00:00
project 503,Request Payment,2018-06-18 11:22:08+00:00
project 503,Payment Handled,2018-06-21 17:31:09+00:00
project 147908,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 16:08:48+00:00
project 147908,Request For Payment APPROVED by ADMINISTRATION,2018-06-15 16:08:53+00:00
project 147908,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-21 13:42:01+00:00
project 147908,Request Payment,2018-06-26 09:20:21+00:00
project 147908,Payment Handled,2018-06-28 17:31:36+00:00
project 147908,Request For Payment SUBMITTED by EMPLOYEE,2018-06-15 16:20:24+00:00
project 147908,Request For Payment REJECTED by ADMINISTRATION,2018-06-15 16:20:58+00:00
